Data,Pais,Tela,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","United States","(not set)",5,5
"2024-10-01","Brazil","(not set)",2,2
"2024-10-01","United States","trial_white_animation_all_features",1,1
"2024-10-02","Brazil","(not set)",8,8
"2024-10-02","United States","(not set)",3,3
"2024-10-03","Brazil","(not set)",6,6
"2024-10-03","United States","(not set)",1,1
"2024-10-04","Brazil","(not set)",18,12
"2024-10-04","United States","(not set)",1,1
"2024-10-05","Brazil","(not set)",6,6
"2024-10-05","United Arab Emirates","(not set)",1,1
"2024-10-05","United States","(not set)",1,1
"2024-10-06","Brazil","(not set)",11,6
"2024-10-06","United States","(not set)",2,2
"2024-10-06","United Kingdom","(not set)",1,1
"2024-10-07","Brazil","(not set)",1,1
"2024-10-08","Brazil","(not set)",5,5
"2024-10-08","United States","(not set)",1,1
"2024-10-09","Brazil","(not set)",7,7
"2024-10-09","United States","(not set)",3,3
"2024-10-10","Brazil","(not set)",7,7
"2024-10-10","United States","(not set)",2,2
"2024-10-10","Brazil","trial_white_animation_all_features",1,1
"2024-10-10","Egypt","(not set)",1,1
"2024-10-11","Brazil","(not set)",9,9
"2024-10-12","Brazil","(not set)",8,6
"2024-10-12","United States","(not set)",4,4
"2024-10-12","Egypt","(not set)",1,1
"2024-10-13","Brazil","(not set)",14,9
"2024-10-13","United States","(not set)",2,2
"2024-10-13","Thailand","(not set)",1,1
"2024-10-14","Brazil","(not set)",6,6
"2024-10-14","Portugal","(not set)",1,1
"2024-10-14","United States","(not set)",1,1
"2024-10-15","Brazil","(not set)",3,3
"2024-10-15","United States","(not set)",3,3
"2024-10-16","Brazil","(not set)",7,6
"2024-10-16","Brazil","plans_offer_annual_highlighted",1,1
"2024-10-16","United States","(not set)",1,1
"2024-10-17","Brazil","(not set)",10,10
"2024-10-17","United States","(not set)",2,2
"2024-10-17","Brazil","trial_white_animation_all_features",1,1
"2024-10-18","Brazil","(not set)",7,7
"2024-10-18","United States","(not set)",2,2
"2024-10-19","Brazil","(not set)",5,5
"2024-10-19","United States","(not set)",1,1
"2024-10-20","Brazil","(not set)",8,8
"2024-10-20","United States","(not set)",3,3
"2024-10-21","Brazil","(not set)",12,12
"2024-10-21","United States","(not set)",1,1
"2024-10-22","Brazil","(not set)",4,4
"2024-10-22","United States","(not set)",2,2
"2024-10-23","Brazil","(not set)",3,3
"2024-10-23","United States","(not set)",1,1
"2024-10-24","Brazil","(not set)",6,6
"2024-10-24","United States","(not set)",5,5
"2024-10-24","Egypt","(not set)",1,1
"2024-10-25","Brazil","(not set)",4,4
"2024-10-25","Türkiye","(not set)",1,1
"2024-10-25","United States","(not set)",1,1
"2024-10-26","Brazil","(not set)",4,4
"2024-10-27","Brazil","(not set)",6,6
"2024-10-27","United States","(not set)",1,1
"2024-10-28","Brazil","(not set)",7,7
"2024-10-28","United States","(not set)",1,1
"2024-10-29","Brazil","(not set)",5,5
"2024-10-29","United States","(not set)",3,3
"2024-10-30","Brazil","(not set)",7,7
"2024-10-30","Brazil","trial_white_animation_all_features",1,1
"2024-10-30","United States","(not set)",1,1
"2024-10-31","United States","(not set)",5,5
"2024-10-31","Brazil","(not set)",3,3
"2024-10-31","Malaysia","trial_white_animation_all_features",1,1
"2024-11-01","Brazil","(not set)",7,7
"2024-11-01","United States","(not set)",3,3
"2024-11-01","Canada","(not set)",2,2
"2024-11-02","Brazil","(not set)",7,7
"2024-11-02","United States","(not set)",2,2
"2024-11-02","Mexico","(not set)",1,1
"2024-11-03","Brazil","(not set)",6,6
"2024-11-03","United States","(not set)",2,2
"2024-11-04","Brazil","(not set)",8,8
"2024-11-04","United States","(not set)",1,1
"2024-11-05","Brazil","(not set)",8,8
"2024-11-05","United States","(not set)",6,6
"2024-11-06","Brazil","(not set)",4,4
"2024-11-06","United States","(not set)",2,2
"2024-11-06","Saudi Arabia","(not set)",1,1
"2024-11-07","Brazil","(not set)",3,3
"2024-11-07","United States","(not set)",1,1
"2024-11-08","Brazil","(not set)",7,7
"2024-11-08","United States","(not set)",5,5
"2024-11-09","Brazil","(not set)",6,6
"2024-11-09","Thailand","(not set)",1,1
"2024-11-09","United States","(not set)",1,1
"2024-11-09","United States","trial_white_animation_all_features",1,1
"2024-11-10","Brazil","(not set)",8,8
"2024-11-10","United States","(not set)",2,2
"2024-11-10","Guam","(not set)",1,1
"2024-11-11","Brazil","(not set)",3,3
"2024-11-11","United States","(not set)",3,3
"2024-11-12","Brazil","(not set)",4,4
"2024-11-12","United States","(not set)",3,2
"2024-11-13","Brazil","(not set)",10,10
"2024-11-13","United States","(not set)",2,2
"2024-11-14","Brazil","(not set)",13,13
"2024-11-14","United States","(not set)",2,2
"2024-11-14","Mexico","(not set)",1,1
"2024-11-15","Brazil","(not set)",10,10
"2024-11-15","United States","(not set)",2,2
"2024-11-15","Egypt","(not set)",1,1
"2024-11-16","Brazil","(not set)",6,6
"2024-11-16","Egypt","(not set)",1,1
"2024-11-16","United States","(not set)",1,1
"2024-11-17","Brazil","(not set)",6,6
"2024-11-17","United States","(not set)",1,1
"2024-11-18","Brazil","(not set)",5,5
